Application Name,Date,Customer Initiated Transactions_Volume (Mn),Customer Initiated Transactions_Value (Cr),B2C Transactions_Volume (Mn),B2C Transactions_Value (Cr),B2B Transactions_Volume (Mn),B2B Transactions_Value (Cr),On0us Transactions_Volume (Mn),On0us Transactions_Value (Cr),Total_Volume (Mn),Total_Value (Cr),year,Month,Avg_Transaction_Value,average_transaction,Year
BHIM,2023-03-01,23.68,7498.24,0.0,0.0,0.0,0.0,0.0,0.0,23.68,7498.24,2023,2023-03,316.64864864864865,316.64864864864865,2023
CANARA BANK APPS,2023-03-01,1.39,374.43,0.0,0.0,0.0,0.0,0.0,0.0,1.39,374.43,2023,2023-03,269.37410071942446,269.37410071942446,2023
CENTRAL BANK OF INDIA APPS,2023-03-01,0.36,83.48,0.0,0.0,0.0,0.09,0.0,0.0,0.36,83.56,2023,2023-03,232.11111111111111,232.11111111111111,2023
CITI BANK APPS,2023-03-01,0.12,67.55,0.0,0.0,0.0,0.01,0.0,0.0,0.12,67.55,2023,2023-03,562.9166666666666,562.9166666666666,2023
CITY UNION BANK APPS,2023-03-01,0.06,18.93,0.0,0.0,0.0,0.0,0.0,0.0,0.06,18.93,2023,2023-03,315.5,315.5,2023
COINTAB,2023-03-01,0.04,19.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,19.07,2023,2023-03,476.75,476.75,2023
CRED,2023-03-01,42.84,21056.31,0.0,0.0,0.0,0.0,0.0,0.0,42.84,21056.31,2023,2023-03,491.51050420168065,491.51050420168065,2023
DBS DIGIBANK APPS,2023-03-01,0.41,177.88,0.0,0.0,0.0,0.0,0.0,0.0,0.41,177.88,2023,2023-03,433.8536585365854,433.8536585365854,2023
DEUTSCHE BANK APPS,2023-03-01,1.72,167.84,0.0,0.0,0.02,19.27,0.0,0.0,1.73,187.11,2023,2023-03,108.15606936416187,108.15606936416187,2023
DHANLAXMI BANK APPS,2023-03-01,0.01,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.21,2023,2023-03,321.0,321.0,2023
EQUITAS SMALL FINANCE BANK APPS,2023-03-01,0.02,13.57,0.0,0.0,0.0,0.0,0.0,0.0,0.02,13.57,2023,2023-03,678.5,678.5,2023
EROUTE,2023-03-01,0.27,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.27,19.25,2023,2023-03,71.29629629629629,71.29629629629629,2023
FAMPAY PPI,2023-03-01,9.49,124.59,0.0,0.0,0.0,0.0,0.0,0.0,9.49,124.59,2023,2023-03,13.128556375131717,13.128556375131717,2023
FAVE,2023-03-01,0.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,6.4,2023,2023-03,80.0,80.0,2023
FEDERAL BANK APPS,2023-03-01,5.25,648.5,0.0,0.0,0.0,0.0,0.0,0.0,5.25,648.51,2023,2023-03,123.52571428571429,123.52571428571429,2023
FINO PAYMENTS BANK APPS,2023-03-01,0.13,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.13,8.18,2023,2023-03,62.92307692307692,62.92307692307692,2023
GOOGLE PAY,2023-03-01,3054.44,482896.69,0.0,0.0,0.0,0.0,0.0,0.0,3054.44,482896.69,2023,2023-03,158.09663637197,158.09663637197,2023
GROWW,2023-03-01,0.18,137.64,0.0,0.0,0.0,0.0,0.0,0.0,0.18,137.64,2023,2023-03,764.6666666666666,764.6666666666666,2023
HDFC BANK APPS,2023-03-01,14.22,3644.87,0.0,0.0,0.0,0.01,0.0,0.0,14.22,3644.88,2023,2023-03,256.32067510548524,256.32067510548524,2023
HSBC BANK APPS,2023-03-01,0.14,89.69,0.0,0.03,0.0,0.0,0.0,0.0,0.14,89.71,2023,2023-03,640.7857142857142,640.7857142857142,2023
ICICI BANK APPS,2023-03-01,29.46,8773.27,4.87,348.16,7.26,8502.71,0.0,0.0,41.59,17624.14,2023,2023-03,423.75907670113,423.75907670113,2023
IDBI BANK APPS,2023-03-01,0.07,32.38,0.0,0.0,0.0,0.0,0.0,0.0,0.07,32.38,2023,2023-03,462.57142857142856,462.57142857142856,2023
IDFC BANK APPS,2023-03-01,13.36,2665.21,0.0,0.0,0.67,640.96,0.0,0.0,14.02,3306.18,2023,2023-03,235.8188302425107,235.8188302425107,2023
INDIA POST PAYMENTS BANK APPS,2023-03-01,4.44,667.69,0.0,0.0,0.0,0.0,0.0,0.0,4.44,667.69,2023,2023-03,150.38063063063063,150.38063063063063,2023
INDIAN BANK APPS,2023-03-01,0.26,75.85,0.0,0.0,0.0,16.56,0.0,0.0,0.26,92.41,2023,2023-03,355.4230769230769,355.4230769230769,2023
INDIAN OVERSEAS BANK APPS,2023-03-01,0.02,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.47,2023,2023-03,223.49999999999997,223.49999999999997,2023
INDUSIND BANK APPS,2023-03-01,0.93,950.35,0.0,0.0,0.0,0.0,0.0,0.0,0.93,950.35,2023,2023-03,1021.8817204301075,1021.8817204301075,2023
JANATA SAHAKARI BANK APPS,2023-03-01,0.01,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.74,2023,2023-03,374.0,374.0,2023
JIO PAYMENTS BANK APPS,2023-03-01,1.68,118.72,0.0,0.0,0.0,0.0,0.0,0.0,1.68,118.72,2023,2023-03,70.66666666666667,70.66666666666667,2023
JUPITER,2023-03-01,2.66,358.12,0.0,0.0,0.0,0.0,0.0,0.0,2.66,358.12,2023,2023-03,134.6315789473684,134.6315789473684,2023
KARNATAKA BANK APPS,2023-03-01,0.42,91.53,0.0,0.0,0.0,0.0,0.0,0.0,0.42,91.53,2023,2023-03,217.92857142857144,217.92857142857144,2023
KARUR VYSYA BANK APPS,2023-03-01,0.04,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.04,15.84,2023,2023-03,396.0,396.0,2023
KOTAK MAHINDRA BANK APPS,2023-03-01,13.77,2854.64,0.0,0.0,0.0,0.01,0.0,0.0,13.77,2854.65,2023,2023-03,207.30936819172115,207.30936819172115,2023
LIVQUICK PPI,2023-03-01,0.01,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.64,2023,2023-03,64.0,64.0,2023
MAKEMYTRIP,2023-03-01,0.05,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,23.5,2023,2023-03,470.0,470.0,2023
MOBIKWIK,2023-03-01,3.64,937.98,0.0,0.0,0.0,0.0,0.0,0.0,3.64,937.98,2023,2023-03,257.6868131868132,257.6868131868132,2023
NSDL PAYMENTS BANK APPS,2023-03-01,0.03,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.47,2023,2023-03,115.66666666666667,115.66666666666667,2023
OTHERS,2023-03-01,0.02,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.18,2023,2023-03,259.0,259.0,2023
PAYTM PAYMENTS BANK APP,2023-03-01,1169.63,133167.49,12.95,20.36,0.55,782.71,105.25,20459.85,1288.38,154430.4,2023,2023-03,119.86401527499649,119.86401527499649,2023
PHONEPE,2023-03-01,4076.32,707410.47,0.0,0.0,0.0,0.0,0.0,0.0,4076.32,707410.47,2023,2023-03,173.54144669702083,173.54144669702083,2023
PUNJAB NATIONAL BANK APPS,2023-03-01,0.43,110.59,0.0,0.0,0.0,0.0,0.0,0.0,0.43,110.59,2023,2023-03,257.1860465116279,257.1860465116279,2023
PUNJAB SIND BANK APPS,2023-03-01,0.04,13.74,0.0,0.0,0.0,0.0,0.0,0.0,0.04,13.74,2023,2023-03,343.5,343.5,2023
RBL BANK APPS,2023-03-01,1.79,544.09,0.0,0.0,0.09,1.89,0.0,0.0,1.88,545.98,2023,2023-03,290.4148936170213,290.4148936170213,2023
SAMSUNG PAY,2023-03-01,5.68,528.09,0.0,0.0,0.0,0.0,0.0,0.0,5.68,528.09,2023,2023-03,92.97359154929579,92.97359154929579,2023
SOUTH INDIAN BANK APPS,2023-03-01,0.22,66.08,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.08,2023,2023-03,300.3636363636364,300.3636363636364,2023
STANDARD CHARTERED BANK APPS,2023-03-01,0.15,94.14,0.0,0.0,0.0,0.0,0.0,0.0,0.15,94.14,2023,2023-03,627.6,627.6,2023
STATE BANK OF INDIA APPS,2023-03-01,4.36,2011.57,0.0,0.0,0.0,0.08,0.0,0.0,4.36,2011.65,2023,2023-03,461.38761467889907,461.38761467889907,2023
TAMILNAD MERCANTILE BANK APPS,2023-03-01,0.07,12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.07,12.42,2023,2023-03,177.42857142857142,177.42857142857142,2023
TATANEU,2023-03-01,0.12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,15.0,2023,2023-03,125.0,125.0,2023
TRANSERV PPI,2023-03-01,0.06,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.06,8.11,2023,2023-03,135.16666666666666,135.16666666666666,2023
UCO BANK APPS,2023-03-01,0.36,116.66,0.0,0.0,0.0,0.0,0.0,0.0,0.36,116.66,2023,2023-03,324.05555555555554,324.05555555555554,2023
ULTRACASH,2023-03-01,0.04,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.61,2023,2023-03,65.25,65.25,2023
UNION BANK APPS,2023-03-01,0.75,310.24,0.0,0.0,0.0,0.0,0.0,0.0,0.75,310.24,2023,2023-03,413.65333333333336,413.65333333333336,2023
UTKARSH SMALL FINANCE BANK APPS,2023-03-01,0.02,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.02,6.35,2023,2023-03,317.5,317.5,2023
WHATSAPP,2023-03-01,13.35,1144.76,0.0,0.0,0.0,0.0,0.0,0.0,13.35,1144.76,2023,2023-03,85.7498127340824,85.7498127340824,2023
YES BANK APPS,2023-03-01,30.78,10038.78,0.0,0.0,0.68,55.12,0.0,0.0,31.47,10093.9,2023,2023-03,320.74674292977437,320.74674292977437,2023
AIRTEL PAYMENTS BANK APPS,2023-04-01,9.04,640.16,0.0,0.0,0.0,0.0,0.0,0.06,9.04,640.22,2023,2023-04,70.82079646017701,70.82079646017701,2023
AKUDO & MUVIN (LIVQUIK),2023-04-01,0.11,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.11,4.25,2023,2023-04,38.63636363636363,38.63636363636363,2023
ALLAHABAD BANK APPS,2023-04-01,0.03,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.03,8.96,2023,2023-04,298.6666666666667,298.6666666666667,2023
AMAZON PAY,2023-04-01,53.44,5351.07,0.0,0.0,0.0,0.0,0.0,0.0,53.44,5351.07,2023,2023-04,100.13229790419162,100.13229790419162,2023
AU SMALL FINANCE BANK APPS,2023-04-01,0.63,184.93,0.0,0.0,0.0,0.0,0.0,0.0,0.63,184.93,2023,2023-04,293.53968253968253,293.53968253968253,2023
AXIS BANK APPS,2023-04-01,9.36,1584.45,42.35,282.63,0.03,2.81,0.0,0.0,51.74,1869.89,2023,2023-04,36.14012369540008,36.14012369540008,2023
BAJAJ FINSERV,2023-04-01,7.68,1053.08,0.0,0.0,0.0,0.0,0.0,0.0,7.68,1053.08,2023,2023-04,137.11979166666666,137.11979166666666,2023
BANDHAN BANK APPS,2023-04-01,0.01,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.44,2023,2023-04,144.0,144.0,2023
BANK OF BARODA APPS,2023-04-01,1.06,392.74,0.0,0.0,0.0,0.0,0.0,0.0,1.06,392.74,2023,2023-04,370.50943396226415,370.50943396226415,2023
BANK OF INDIA APPS,2023-04-01,0.22,66.93,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.93,2023,2023-04,304.22727272727275,304.22727272727275,2023
BANK OF MAHARASHTRA APPS,2023-04-01,0.06,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.06,19.83,2023,2023-04,330.5,330.5,2023
BHIM,2023-04-01,23.77,7368.61,0.0,0.0,0.0,0.0,0.0,0.0,23.77,7368.61,2023,2023-04,309.9962137147665,309.9962137147665,2023
BPAYWALLET,2023-04-01,0.05,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.05,9.91,2023,2023-04,198.2,198.2,2023
CANARA BANK APPS,2023-04-01,1.4,383.46,0.0,0.0,0.0,0.0,0.0,0.0,1.4,383.46,2023,2023-04,273.9,273.9,2023
CENTRAL BANK OF INDIA APPS,2023-04-01,0.41,91.19,0.0,0.0,0.0,0.08,0.0,0.0,0.41,91.27,2023,2023-04,222.609756097561,222.609756097561,2023
CITI BANK APPS,2023-04-01,0.1,58.17,0.0,0.0,0.0,0.0,0.0,0.0,0.1,58.17,2023,2023-04,581.6999999999999,581.6999999999999,2023
CITY UNION BANK APPS,2023-04-01,0.06,18.31,0.0,0.0,0.0,0.0,0.0,0.0,0.06,18.31,2023,2023-04,305.16666666666663,305.16666666666663,2023
COINTAB,2023-04-01,0.02,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.02,10.61,2023,2023-04,530.5,530.5,2023
CRED,2023-04-01,45.7,20729.56,0.0,0.0,0.0,0.0,0.0,0.0,45.7,20729.56,2023,2023-04,453.600875273523,453.600875273523,2023
DBS DIGIBANK APPS,2023-04-01,0.41,173.13,0.0,0.0,0.0,0.0,0.0,0.0,0.41,173.13,2023,2023-04,422.26829268292687,422.26829268292687,2023
DEUTSCHE BANK APPS,2023-04-01,1.65,142.8,0.0,0.0,0.0,0.86,0.0,0.0,1.65,143.66,2023,2023-04,87.06666666666666,87.06666666666666,2023
DHANI,2023-04-01,0.08,9.21,0.0,0.0,0.0,0.0,0.0,0.0,0.08,9.21,2023,2023-04,115.12500000000001,115.12500000000001,2023
DHANLAXMI BANK APPS,2023-04-01,0.01,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.8,2023,2023-04,280.0,280.0,2023
EQUITAS SMALL FINANCE BANK APPS,2023-04-01,0.02,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.02,13.86,2023,2023-04,693.0,693.0,2023
FAM,2023-04-01,11.78,146.58,0.0,0.0,0.0,0.0,0.0,0.0,11.78,146.58,2023,2023-04,12.443123938879458,12.443123938879458,2023
FAVE,2023-04-01,0.03,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.27,2023,2023-04,109.0,109.0,2023
FEDERAL BANK APPS,2023-04-01,5.18,624.64,0.0,0.0,0.0,0.0,0.0,0.0,5.18,624.64,2023,2023-04,120.58687258687259,120.58687258687259,2023
FINO PAYMENTS BANK APPS,2023-04-01,0.08,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.08,5.67,2023,2023-04,70.875,70.875,2023
GOOGLE PAY,2023-04-01,3109.24,474049.9,0.0,0.0,0.0,0.0,0.0,0.0,3109.24,474049.9,2023,2023-04,152.46487887715327,152.46487887715327,2023
GROWW,2023-04-01,0.11,80.85,0.0,0.0,0.0,0.0,0.0,0.0,0.11,80.85,2023,2023-04,735.0,735.0,2023
HDFC BANK APPS,2023-04-01,14.48,3685.33,0.0,0.0,0.0,16.48,0.0,0.0,14.48,3701.81,2023,2023-04,255.64986187845304,255.64986187845304,2023
HSBC BANK APPS,2023-04-01,0.14,90.1,0.0,0.03,0.0,0.0,0.0,0.0,0.14,90.13,2023,2023-04,643.7857142857142,643.7857142857142,2023
ICICI BANK APPS,2023-04-01,30.69,8941.59,5.34,323.96,5.95,7439.02,0.0,0.0,41.98,16704.57,2023,2023-04,397.91734159123394,397.91734159123394,2023
IDBI BANK APPS,2023-04-01,0.07,32.02,0.0,0.0,0.0,0.0,0.0,0.0,0.07,32.02,2023,2023-04,457.42857142857144,457.42857142857144,2023
IDFC BANK APPS,2023-04-01,11.96,2274.12,0.0,0.0,0.71,591.19,0.0,0.0,12.66,2865.32,2023,2023-04,226.32859399684045,226.32859399684045,2023
INDIA POST PAYMENTS BANK APPS,2023-04-01,5.24,746.48,0.0,0.0,0.0,0.0,0.0,0.0,5.24,746.48,2023,2023-04,142.45801526717557,142.45801526717557,2023
INDIAN BANK APPS,2023-04-01,0.27,75.66,0.0,0.0,0.0,10.71,0.0,0.0,0.27,86.37,2023,2023-04,319.88888888888886,319.88888888888886,2023
INDIAN OVERSEAS BANK APPS,2023-04-01,0.03,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.03,7.76,2023,2023-04,258.6666666666667,258.6666666666667,2023
INDUSIND BANK APPS,2023-04-01,0.8,877.27,0.0,0.0,0.0,0.0,0.0,0.0,0.8,877.27,2023,2023-04,1096.5874999999999,1096.5874999999999,2023
JIO PAYMENTS BANK APPS,2023-04-01,1.49,112.21,0.0,0.0,0.0,0.0,0.0,0.0,1.49,112.21,2023,2023-04,75.30872483221476,75.30872483221476,2023
JUPITER,2023-04-01,2.72,380.27,0.0,0.0,0.0,0.0,0.0,0.0,2.72,380.27,2023,2023-04,139.8051470588235,139.8051470588235,2023
KARNATAKA BANK APPS,2023-04-01,0.51,110.35,0.0,0.0,0.0,0.0,0.0,0.0,0.51,110.35,2023,2023-04,216.37254901960782,216.37254901960782,2023
KARUR VYSYA BANK APPS,2023-04-01,0.04,14.19,0.0,0.0,0.0,0.0,0.0,0.0,0.04,14.19,2023,2023-04,354.75,354.75,2023
KOTAK MAHINDRA BANK APPS,2023-04-01,13.98,2845.64,0.0,0.0,0.0,0.01,0.0,0.0,13.98,2845.65,2023,2023-04,203.55150214592274,203.55150214592274,2023
MAKEMYTRIP,2023-04-01,0.02,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.02,12.91,2023,2023-04,645.5,645.5,2023
MOBIKWIK,2023-04-01,3.48,923.59,0.0,0.0,0.0,0.0,0.0,0.0,3.48,923.59,2023,2023-04,265.39942528735634,265.39942528735634,2023
NSDL PAYMENTS BANK APPS,2023-04-01,0.02,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.02,3.42,2023,2023-04,171.0,171.0,2023
OMNI,2023-04-01,0.26,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.26,6.74,2023,2023-04,25.923076923076923,25.923076923076923,2023
OTHERS,2023-04-01,0.03,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.03,8.54,2023,2023-04,284.66666666666663,284.66666666666663,2023
PAYTM PAYMENTS BANK APP,2023-04-01,1184.38,135343.96,8.83,14.25,0.53,793.27,105.52,19560.25,1299.25,155711.73,2023,2023-04,119.8473965749471,119.8473965749471,2023
PHONEPE,2023-04-01,4216.99,710178.44,0.0,0.0,0.0,0.0,0.0,0.0,4216.99,710178.44,2023,2023-04,168.4088508628192,168.4088508628192,2023
PINELABS,2023-04-01,0.02,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.31,2023,2023-04,65.5,65.5,2023
PUNJAB NATIONAL BANK APPS,2023-04-01,1.03,148.27,0.0,0.0,0.0,0.01,0.0,0.0,1.03,148.28,2023,2023-04,143.96116504854368,143.96116504854368,2023
PUNJAB SIND BANK APPS,2023-04-01,0.04,14.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,14.04,2023,2023-04,350.99999999999994,350.99999999999994,2023
RBL BANK APPS,2023-04-01,1.56,489.63,0.0,0.0,0.1,2.7,0.0,0.0,1.66,492.33,2023,2023-04,296.5843373493976,296.5843373493976,2023
SAMSUNG PAY,2023-04-01,5.67,511.04,0.0,0.0,0.0,0.0,0.0,0.0,5.67,511.04,2023,2023-04,90.1305114638448,90.1305114638448,2023
SLASH,2023-04-01,0.01,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.32,2023,2023-04,32.0,32.0,2023
SLICE,2023-04-01,0.66,170.62,0.0,0.0,0.0,0.0,0.0,0.0,0.66,170.62,2023,2023-04,258.5151515151515,258.5151515151515,2023
SOUTH INDIAN BANK APPS,2023-04-01,0.22,63.81,0.0,0.0,0.0,0.0,0.0,0.0,0.22,63.81,2023,2023-04,290.04545454545456,290.04545454545456,2023
STANDARD CHARTERED BANK APPS,2023-04-01,0.16,94.21,0.0,0.0,0.0,0.0,0.0,0.0,0.16,94.22,2023,2023-04,588.875,588.875,2023
STATE BANK OF INDIA APPS,2023-04-01,4.09,1910.04,0.0,0.0,0.0,0.11,0.0,0.0,4.09,1910.15,2023,2023-04,467.02933985330077,467.02933985330077,2023
TAMILNAD MERCANTILE BANK APPS,2023-04-01,0.06,13.15,0.0,0.0,0.0,0.0,0.0,0.0,0.06,13.15,2023,2023-04,219.16666666666669,219.16666666666669,2023
TATANEU,2023-04-01,0.15,16.46,0.0,0.0,0.0,0.0,0.0,0.0,0.15,16.46,2023,2023-04,109.73333333333335,109.73333333333335,2023
UCO BANK APPS,2023-04-01,0.34,111.87,0.0,0.0,0.0,0.0,0.0,0.0,0.34,111.87,2023,2023-04,329.02941176470586,329.02941176470586,2023
ULTRACASH,2023-04-01,0.03,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.1,2023,2023-04,70.0,70.0,2023
UNION BANK APPS,2023-04-01,0.74,301.17,0.0,0.0,0.0,0.0,0.0,0.0,0.74,301.17,2023,2023-04,406.9864864864865,406.9864864864865,2023
UTKARSH SMALL FINANCE BANK APPS,2023-04-01,0.02,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.02,6.43,2023,2023-04,321.5,321.5,2023
WHATSAPP,2023-04-01,14.83,1319.01,0.0,0.0,0.0,0.0,0.0,0.0,14.83,1319.01,2023,2023-04,88.94200944032367,88.94200944032367,2023
YES BANK APPS,2023-04-01,34.45,12151.0,0.0,0.0,0.88,303.98,0.0,0.0,35.33,12454.98,2023,2023-04,352.5326917633739,352.5326917633739,2023
AIRTEL PAYMENTS BANK APPS,2023-05-01,9.17,627.09,0.0,0.0,0.0,0.0,0.0,0.08,9.17,627.17,2023,2023-05,68.39367502726282,68.39367502726282,2023
AKUDO & MUVIN (LIVQUIK),2023-05-01,0.18,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.18,6.62,2023,2023-05,36.77777777777778,36.77777777777778,2023
ALLAHABAD BANK APPS,2023-05-01,0.03,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.03,8.87,2023,2023-05,295.66666666666663,295.66666666666663,2023
AMAZON PAY,2023-05-01,57.08,5772.68,0.0,0.0,0.0,0.0,0.0,0.0,57.08,5772.68,2023,2023-05,101.13314646110723,101.13314646110723,2023
AU SMALL FINANCE BANK APPS,2023-05-01,0.65,193.87,0.0,0.0,0.0,0.0,0.0,0.0,0.65,193.87,2023,2023-05,298.26153846153846,298.26153846153846,2023
AXIS BANK APPS,2023-05-01,10.19,1697.23,37.0,217.0,0.03,3.0,0.0,0.0,47.38,1916.44,2023,2023-05,40.448290417897844,40.448290417897844,2023
BAJAJ FINSERV,2023-05-01,9.12,1189.82,0.0,0.0,0.0,0.0,0.0,0.0,9.12,1189.82,2023,2023-05,130.46271929824562,130.46271929824562,2023
BANK OF BARODA APPS,2023-05-01,1.11,412.02,0.0,0.0,0.0,0.0,0.0,0.0,1.11,412.03,2023,2023-05,371.19819819819816,371.19819819819816,2023
BANK OF INDIA APPS,2023-05-01,0.22,69.86,0.0,0.0,0.0,0.0,0.0,0.0,0.22,69.87,2023,2023-05,317.5909090909091,317.5909090909091,2023
BHIM,2023-05-01,22.96,7209.87,0.0,0.0,0.0,0.0,0.0,0.0,22.96,7209.87,2023,2023-05,314.0187282229965,314.0187282229965,2023
BPAYWALLET,2023-05-01,0.06,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.06,9.65,2023,2023-05,160.83333333333334,160.83333333333334,2023
CANARA BANK APPS,2023-05-01,1.48,431.27,0.0,0.0,0.0,0.0,0.0,0.0,1.48,431.27,2023,2023-05,291.39864864864865,291.39864864864865,2023
CENTRAL BANK OF INDIA APPS,2023-05-01,0.43,95.52,0.0,0.0,0.0,0.0,0.0,0.0,0.43,95.58,2023,2023-05,222.27906976744185,222.27906976744185,2023
CITI BANK APPS,2023-05-01,0.09,55.38,0.0,0.0,0.0,0.0,0.0,0.0,0.09,55.38,2023,2023-05,615.3333333333334,615.3333333333334,2023
CITY UNION BANK APPS,2023-05-01,0.06,20.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06,20.02,2023,2023-05,333.6666666666667,333.6666666666667,2023
COINTAB,2023-05-01,0.01,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.24,2023,2023-05,424.0,424.0,2023
CRED,2023-05-01,61.04,23426.74,0.0,0.0,0.0,0.0,0.0,0.0,61.04,23426.74,2023,2023-05,383.79325032765405,383.79325032765405,2023
DBS DIGIBANK APPS,2023-05-01,0.42,174.75,0.0,0.0,0.0,0.0,0.0,0.0,0.42,174.75,2023,2023-05,416.0714285714286,416.0714285714286,2023
DEUTSCHE BANK APPS,2023-05-01,1.89,174.25,0.0,0.0,0.0,0.0,0.0,0.0,1.89,174.27,2023,2023-05,92.20634920634922,92.20634920634922,2023
DHANI,2023-05-01,0.04,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.04,7.55,2023,2023-05,188.75,188.75,2023
DHANLAXMI BANK APPS,2023-05-01,0.01,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.93,2023,2023-05,293.0,293.0,2023
EQUITAS SMALL FINANCE BANK APPS,2023-05-01,0.03,16.31,0.0,0.0,0.0,0.0,0.0,0.0,0.03,16.31,2023,2023-05,543.6666666666666,543.6666666666666,2023
FAM,2023-05-01,13.78,166.5,0.0,0.0,0.0,0.0,0.0,0.0,13.78,166.5,2023,2023-05,12.082728592162555,12.082728592162555,2023
FAVE,2023-05-01,0.02,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.68,2023,2023-05,84.0,84.0,2023
FEDERAL BANK APPS,2023-05-01,5.12,643.6,0.0,0.0,0.0,0.0,0.0,0.0,5.12,643.62,2023,2023-05,125.70703125,125.70703125,2023
FINO PAYMENTS BANK APPS,2023-05-01,0.09,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.09,6.6,2023,2023-05,73.33333333333333,73.33333333333333,2023
GOOGLE PAY,2023-05-01,3274.69,497748.17,0.0,0.0,0.0,0.0,0.0,0.0,3274.69,497748.17,2023,2023-05,151.99856169591624,151.99856169591624,2023
GROWW,2023-05-01,0.47,287.97,0.0,0.0,0.0,0.0,0.0,0.0,0.47,287.97,2023,2023-05,612.7021276595746,612.7021276595746,2023
HDFC BANK APPS,2023-05-01,16.07,3979.33,0.0,0.0,0.0,3.0,0.0,0.0,16.07,3982.69,2023,2023-05,247.8338518979465,247.8338518979465,2023
HSBC BANK APPS,2023-05-01,0.14,87.42,0.0,0.0,0.0,0.0,0.0,0.0,0.14,87.5,2023,2023-05,624.9999999999999,624.9999999999999,2023
ICICI BANK APPS,2023-05-01,33.59,9965.41,5.23,380.0,5.09,6755.0,0.0,0.0,43.92,17101.09,2023,2023-05,389.36908014571947,389.36908014571947,2023
IDBI BANK APPS,2023-05-01,0.08,34.64,0.0,0.0,0.0,0.0,0.0,0.0,0.08,34.64,2023,2023-05,433.0,433.0,2023
IDFC BANK APPS,2023-05-01,8.52,1688.6,0.0,0.0,0.04,7.0,0.0,0.0,8.56,1696.01,2023,2023-05,198.1320093457944,198.1320093457944,2023
INDIA POST PAYMENTS BANK APPS,2023-05-01,5.04,775.77,0.0,0.0,0.0,0.0,0.0,0.0,5.04,775.77,2023,2023-05,153.92261904761904,153.92261904761904,2023
INDIAN BANK APPS,2023-05-01,0.28,80.31,0.0,0.0,0.0,4.0,0.0,0.0,0.28,84.07,2023,2023-05,300.24999999999994,300.24999999999994,2023
INDIAN OVERSEAS BANK APPS,2023-05-01,0.04,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10.5,2023,2023-05,262.5,262.5,2023
INDUSIND BANK APPS,2023-05-01,0.81,886.1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,886.1,2023,2023-05,1093.9506172839506,1093.9506172839506,2023
